n_iterations,initial_n_cnf,initial_n_literal,avg_n_cnf,avg_n_literal,avg_n_ratio,mode_n_cnf,mode_n_literal,mode_n_ratio,median_n_cnf,median_n_literal,median_n_ratio,ratio_of_avgs,ratio_of_modes,ratio_of_medians,solve_time,result,id,heuristic,human_difficulty,avg_human_solve_time,n_knowns
17,12012,26268,754.75,252.25,2.980487802242782,739.0,256.0,2.984375,756.0,255.0,2.96462844488189,2.99207135777998,2.88671875,2.9647058823529413,0.9231324195861816,True,diabolical_0609_28.txt,RANDOM,diabolical,1680,24
80,12012,26268,589.1333333333333,226.53333333333333,2.558416172724916,512.0,256.0,2.985074626865672,583.0,232.0,2.5129310344827585,2.6006474396703942,2.0,2.5129310344827585,1.5119240283966064,True,diabolical_0609_28.txt,DLIS,diabolical,1680,24
17,12015,26271,654.625,225.25,2.863634006236076,642.0,224.0,2.8660714285714284,583.5,210.0,2.7723214285714284,2.906215316315205,2.8660714285714284,2.7785714285714285,1.1805994510650635,True,diabolical_1109_27.txt,RANDOM,diabolical,1620,27
128,12015,26271,557.296875,212.9375,2.569780546847058,448.0,172.0,2.3404255319148937,531.5,207.0,2.5675644137415983,2.6171852069269153,2.604651162790698,2.5676328502415457,1.7686958312988281,True,diabolical_1109_27.txt,DLCS,diabolical,1620,27
85,12015,26271,621.1555555555556,234.0,2.623025060012474,512.0,256.0,2.6625,606.0,234.0,2.58974358974359,2.6545109211775877,2.0,2.58974358974359,1.6947736740112305,True,diabolical_1109_27.txt,DLIS,diabolical,1620,27
70,12015,26271,620.9555555555555,234.0,2.622247321204853,512.0,256.0,2.981203007518797,606.0,234.0,2.58974358974359,2.653656220322887,2.0,2.58974358974359,1.1649188995361328,True,diabolical_1109_27.txt,JEROSLOW_WANG,diabolical,1620,27
70,12015,26271,620.9555555555555,234.0,2.622247321204853,512.0,256.0,2.981203007518797,606.0,234.0,2.58974358974359,2.653656220322887,2.0,2.58974358974359,1.3564321994781494,True,diabolical_1109_27.txt,JEROSLOW_WANG_TWO_SIDED,diabolical,1620,27
62,12015,26271,565.6129032258065,213.93548387096774,2.597327830727199,384.0,266.0,2.3404255319148937,515.0,204.0,2.5245098039215685,2.643848009650181,1.443609022556391,2.5245098039215685,1.2859091758728027,True,diabolical_1109_27.txt,DLIS_negated,diabolical,1620,27
8,12014,26270,182.5,79.0,2.307740240610908,200.0,80.0,2.2564102564102564,181.0,79.0,2.2907051282051283,2.310126582278481,2.5,2.2911392405063293,0.8113257884979248,True,diabolical_1309_23.txt,DLIS_negated,diabolical,1380,26
12,12014,26270,164.85714285714286,74.0,2.2148906051024153,160.0,72.0,2.2564102564102564,168.0,76.0,2.210526315789474,2.227799227799228,2.2222222222222223,2.210526315789474,0.8085823059082031,True,diabolical_1309_23.txt,JEROSLOW_WANG_TWO_SIDED,diabolical,1380,26
